세가지 보석,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,전설의 뿔피리,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,황금 인장 반지,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,화염 부적,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,아누비스의 가면,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,잊혀진 기억 로켓,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,요정의 목걸이,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,결의의 증표,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,고룡의 비늘,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,어둠에 물든 구슬,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,시간의 모래시계,레벨,효과,다음 레벨 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem
,219,올스텟 +219,44,"4,906",-,"18,260",,,,,,,,,,,219,환생 포인트 획득량 219% 증가,426,"44,491",-,"69,100",,,219,최종 STR 219% 증가,632,"64,996",-,"63,950",,,219,최종 DEX 219% 증가,632,"64,996",-,"63,950",,,219,최종 INT 219% 증가,632,"64,996",-,"63,950",,,219,최종 LUK 219% 증가,632,"64,996",-,"63,950",,,219,최종 공격력 219% 증가,845,"87,292",-,"69,100",,,219,최종 크리티컬 데미지 219% 증가,"1,058","109,588",-,"72,360",,,,,,,,,,,,,,,,
,220,올스텟 +220,45,"4,950",💎 640,"18,900",,,,,,,,,,,220,환생 포인트 획득량 220% 증가,428,"44,917","💎 2,000","71,100",,,220,최종 STR 220% 증가,635,"65,628","💎 2,000","65,950",,,220,최종 DEX 220% 증가,635,"65,628","💎 2,000","65,950",,,220,최종 INT 220% 증가,635,"65,628","💎 2,000","65,950",,,220,최종 LUK 220% 증가,635,"65,628","💎 2,000","65,950",,,220,최종 공격력 220% 증가,850,"88,137","💎 2,000","71,100",,,220,최종 크리티컬 데미지 220% 증가,"1,064","110,646","💎 2,000","74,360",,,,,,,,,,,,,,,,
,221,올스텟 +221,45,"4,995",-,"18,900",,,,,,,,,,,221,환생 포인트 획득량 221% 증가,430,"45,345",-,"71,100",,,221,최종 STR 221% 증가,639,"66,263",-,"65,950",,,221,최종 DEX 221% 증가,639,"66,263",-,"65,950",,,221,최종 INT 221% 증가,639,"66,263",-,"65,950",,,221,최종 LUK 221% 증가,639,"66,263",-,"65,950",,,221,최종 공격력 221% 증가,854,"88,987",-,"71,100",,,221,최종 크리티컬 데미지 221% 증가,"1,069","111,710",-,"74,360",,,,,,,,,,,,,,,,
,222,올스텟 +222,45,"5,040",-,"18,900",,,,,,,,,,,222,환생 포인트 획득량 222% 증가,432,"45,775",-,"71,100",,,222,최종 STR 222% 증가,642,"66,902",-,"65,950",,,222,최종 DEX 222% 증가,642,"66,902",-,"65,950",,,222,최종 INT 222% 증가,642,"66,902",-,"65,950",,,222,최종 LUK 222% 증가,642,"66,902",-,"65,950",,,222,최종 공격력 222% 증가,858,"89,841",-,"71,100",,,222,최종 크리티컬 데미지 222% 증가,"1,074","112,779",-,"74,360",,,,,,,,,,,,,,,,
,223,올스텟 +223,45,"5,085",-,"18,900",,,,,,,,,,,223,환생 포인트 획득량 223% 증가,434,"46,207",-,"71,100",,,223,최종 STR 223% 증가,645,"67,544",-,"65,950",,,223,최종 DEX 223% 증가,645,"67,544",-,"65,950",,,223,최종 INT 223% 증가,645,"67,544",-,"65,950",,,223,최종 LUK 223% 증가,645,"67,544",-,"65,950",,,223,최종 공격력 223% 증가,862,"90,699",-,"71,100",,,223,최종 크리티컬 데미지 223% 증가,"1,080","113,853",-,"74,360",,,,,,,,,,,,,,,,
,224,올스텟 +224,45,"5,130",-,"18,900",,,,,,,,,,,224,환생 포인트 획득량 224% 증가,436,"46,641",-,"71,100",,,224,최종 STR 224% 증가,648,"68,189",-,"65,950",,,224,최종 DEX 224% 증가,648,"68,189",-,"65,950",,,224,최종 INT 224% 증가,648,"68,189",-,"65,950",,,224,최종 LUK 224% 증가,648,"68,189",-,"65,950",,,224,최종 공격력 224% 증가,867,"91,561",-,"71,100",,,224,최종 크리티컬 데미지 224% 증가,"1,085","114,933",-,"74,360",,,,,,,,,,,,,,,,
,225,올스텟 +225,46,"5,175",💎 650,"19,550",,,,,,,,,,,225,환생 포인트 획득량 225% 증가,438,"47,077","💎 2,000","73,100",,,225,최종 STR 225% 증가,651,"68,837","💎 2,000","67,950",,,225,최종 DEX 225% 증가,651,"68,837","💎 2,000","67,950",,,225,최종 INT 225% 증가,651,"68,837","💎 2,000","67,950",,,225,최종 LUK 225% 증가,651,"68,837","💎 2,000","67,950",,,225,최종 공격력 225% 증가,871,"92,428","💎 2,000","73,100",,,225,최종 크리티컬 데미지 225% 증가,"1,090","116,018","💎 2,000","76,360",,,,,,,,,,,,,,,,
,226,올스텟 +226,46,"5,221",-,"19,550",,,,,,,,,,,226,환생 포인트 획득량 226% 증가,441,"47,515",-,"73,100",,,226,최종 STR 226% 증가,655,"69,488",-,"67,950",,,226,최종 DEX 226% 증가,655,"69,488",-,"67,950",,,226,최종 INT 226% 증가,655,"69,488",-,"67,950",,,226,최종 LUK 226% 증가,655,"69,488",-,"67,950",,,226,최종 공격력 226% 증가,875,"93,299",-,"73,100",,,226,최종 크리티컬 데미지 226% 증가,"1,096","117,108",-,"76,360",,,,,,,,,,,,,,,,
,227,올스텟 +227,46,"5,267",-,"19,550",,,,,,,,,,,227,환생 포인트 획득량 227% 증가,443,"47,956",-,"73,100",,,227,최종 STR 227% 증가,658,"70,143",-,"67,950",,,227,최종 DEX 227% 증가,658,"70,143",-,"67,950",,,227,최종 INT 227% 증가,658,"70,143",-,"67,950",,,227,최종 LUK 227% 증가,658,"70,143",-,"67,950",,,227,최종 공격력 227% 증가,880,"94,174",-,"73,100",,,227,최종 크리티컬 데미지 227% 증가,"1,101","118,204",-,"76,360",,,,,,,,,,,,,,,,
,228,올스텟 +228,46,"5,313",-,"19,550",,,,,,,,,,,228,환생 포인트 획득량 228% 증가,445,"48,399",-,"73,100",,,228,최종 STR 228% 증가,661,"70,801",-,"67,950",,,228,최종 DEX 228% 증가,661,"70,801",-,"67,950",,,228,최종 INT 228% 증가,661,"70,801",-,"67,950",,,228,최종 LUK 228% 증가,661,"70,801",-,"67,950",,,228,최종 공격력 228% 증가,884,"95,054",-,"73,100",,,228,최종 크리티컬 데미지 228% 증가,"1,107","119,305",-,"76,360",,,,,,,,,,,,,,,,
,229,올스텟 +229,46,"5,359",-,"19,550",,,,,,,,,,,229,환생 포인트 획득량 229% 증가,447,"48,844",-,"73,100",,,229,최종 STR 229% 증가,664,"71,462",-,"67,950",,,229,최종 DEX 229% 증가,664,"71,462",-,"67,950",,,229,최종 INT 229% 증가,664,"71,462",-,"67,950",,,229,최종 LUK 229% 증가,664,"71,462",-,"67,950",,,229,최종 공격력 229% 증가,888,"95,938",-,"73,100",,,229,최종 크리티컬 데미지 229% 증가,"1,112","120,412",-,"76,360",,,,,,,,,,,,,,,,
,230,올스텟 +230,47,"5,405",💎 660,"20,210",,,,,,,,,,,230,환생 포인트 획득량 230% 증가,449,"49,291","💎 2,000","75,100",,,230,최종 STR 230% 증가,668,"72,126","💎 2,000","69,950",,,230,최종 DEX 230% 증가,668,"72,126","💎 2,000","69,950",,,230,최종 INT 230% 증가,668,"72,126","💎 2,000","69,950",,,230,최종 LUK 230% 증가,668,"72,126","💎 2,000","69,950",,,230,최종 공격력 230% 증가,892,"96,826","💎 2,000","75,100",,,230,최종 크리티컬 데미지 230% 증가,"1,117","121,524","💎 2,000","78,360",,,,,,,,,,,,,,,,
,231,올스텟 +231,47,"5,452",-,"20,210",,,,,,,,,,,231,환생 포인트 획득량 231% 증가,451,"49,740",-,"75,100",,,231,최종 STR 231% 증가,671,"72,794",-,"69,950",,,231,최종 DEX 231% 증가,671,"72,794",-,"69,950",,,231,최종 INT 231% 증가,671,"72,794",-,"69,950",,,231,최종 LUK 231% 증가,671,"72,794",-,"69,950",,,231,최종 공격력 231% 증가,897,"97,718",-,"75,100",,,231,최종 크리티컬 데미지 231% 증가,"1,123","122,641",-,"78,360",,,,,,,,,,,,,,,,
,232,올스텟 +232,47,"5,499",-,"20,210",,,,,,,,,,,232,환생 포인트 획득량 232% 증가,453,"50,191",-,"75,100",,,232,최종 STR 232% 증가,674,"73,465",-,"69,950",,,232,최종 DEX 232% 증가,674,"73,465",-,"69,950",,,232,최종 INT 232% 증가,674,"73,465",-,"69,950",,,232,최종 LUK 232% 증가,674,"73,465",-,"69,950",,,232,최종 공격력 232% 증가,901,"98,615",-,"75,100",,,232,최종 크리티컬 데미지 232% 증가,"1,128","123,764",-,"78,360",,,,,,,,,,,,,,,,
,233,올스텟 +233,47,"5,546",-,"20,210",,,,,,,,,,,233,환생 포인트 획득량 233% 증가,455,"50,644",-,"75,100",,,233,최종 STR 233% 증가,677,"74,139",-,"69,950",,,233,최종 DEX 233% 증가,677,"74,139",-,"69,950",,,233,최종 INT 233% 증가,677,"74,139",-,"69,950",,,233,최종 LUK 233% 증가,677,"74,139",-,"69,950",,,233,최종 공격력 233% 증가,905,"99,516",-,"75,100",,,233,최종 크리티컬 데미지 233% 증가,"1,133","124,892",-,"78,360",,,,,,,,,,,,,,,,
,234,올스텟 +234,47,"5,593",-,"20,210",,,,,,,,,,,234,환생 포인트 획득량 234% 증가,458,"51,099",-,"75,100",,,234,최종 STR 234% 증가,681,"74,816",-,"69,950",,,234,최종 DEX 234% 증가,681,"74,816",-,"69,950",,,234,최종 INT 234% 증가,681,"74,816",-,"69,950",,,234,최종 LUK 234% 증가,681,"74,816",-,"69,950",,,234,최종 공격력 234% 증가,910,"100,421",-,"75,100",,,234,최종 크리티컬 데미지 234% 증가,"1,139","126,025",-,"78,360",,,,,,,,,,,,,,,,
,235,올스텟 +235,48,"5,640",💎 670,"20,880",,,,,,,,,,,235,환생 포인트 획득량 235% 증가,460,"51,557","💎 2,000","77,100",,,235,최종 STR 235% 증가,684,"75,497","💎 2,000","71,950",,,235,최종 DEX 235% 증가,684,"75,497","💎 2,000","71,950",,,235,최종 INT 235% 증가,684,"75,497","💎 2,000","71,950",,,235,최종 LUK 235% 증가,684,"75,497","💎 2,000","71,950",,,235,최종 공격력 235% 증가,914,"101,331","💎 2,000","77,100",,,235,최종 크리티컬 데미지 235% 증가,"1,144","127,164","💎 2,000","80,360",,,,,,,,,,,,,,,,
,236,올스텟 +236,48,"5,688",-,"20,880",,,,,,,,,,,236,환생 포인트 획득량 236% 증가,462,"52,017",-,"77,100",,,236,최종 STR 236% 증가,687,"76,181",-,"71,950",,,236,최종 DEX 236% 증가,687,"76,181",-,"71,950",,,236,최종 INT 236% 증가,687,"76,181",-,"71,950",,,236,최종 LUK 236% 증가,687,"76,181",-,"71,950",,,236,최종 공격력 236% 증가,918,"102,245",-,"77,100",,,236,최종 크리티컬 데미지 236% 증가,"1,149","128,308",-,"80,360",,,,,,,,,,,,,,,,
,237,올스텟 +237,48,"5,736",-,"20,880",,,,,,,,,,,237,환생 포인트 획득량 237% 증가,464,"52,479",-,"77,100",,,237,최종 STR 237% 증가,690,"76,868",-,"71,950",,,237,최종 DEX 237% 증가,690,"76,868",-,"71,950",,,237,최종 INT 237% 증가,690,"76,868",-,"71,950",,,237,최종 LUK 237% 증가,690,"76,868",-,"71,950",,,237,최종 공격력 237% 증가,923,"103,163",-,"77,100",,,237,최종 크리티컬 데미지 237% 증가,"1,155","129,457",-,"80,360",,,,,,,,,,,,,,,,
,238,올스텟 +238,48,"5,784",-,"20,880",,,,,,,,,,,238,환생 포인트 획득량 238% 증가,466,"52,943",-,"77,100",,,238,최종 STR 238% 증가,694,"77,558",-,"71,950",,,238,최종 DEX 238% 증가,694,"77,558",-,"71,950",,,238,최종 INT 238% 증가,694,"77,558",-,"71,950",,,238,최종 LUK 238% 증가,694,"77,558",-,"71,950",,,238,최종 공격력 238% 증가,927,"104,086",-,"77,100",,,238,최종 크리티컬 데미지 238% 증가,"1,160","130,612",-,"80,360",,,,,,,,,,,,,,,,
,239,올스텟 +239,48,"5,832",-,"20,880",,,,,,,,,,,239,환생 포인트 획득량 239% 증가,468,"53,409",-,"77,100",,,239,최종 STR 239% 증가,697,"78,252",-,"71,950",,,239,최종 DEX 239% 증가,697,"78,252",-,"71,950",,,239,최종 INT 239% 증가,697,"78,252",-,"71,950",,,239,최종 LUK 239% 증가,697,"78,252",-,"71,950",,,239,최종 공격력 239% 증가,931,"105,013",-,"77,100",,,239,최종 크리티컬 데미지 239% 증가,"1,166","131,772",-,"80,360",,,,,,,,,,,,,,,,
,240,올스텟 +240,49,"5,880",💎 680,"21,560",,,,,,,,,,,240,환생 포인트 획득량 240% 증가,470,"53,877","💎 2,000","79,100",,,240,최종 STR 240% 증가,700,"78,949","💎 2,000","73,950",,,240,최종 DEX 240% 증가,700,"78,949","💎 2,000","73,950",,,240,최종 INT 240% 증가,700,"78,949","💎 2,000","73,950",,,240,최종 LUK 240% 증가,700,"78,949","💎 2,000","73,950",,,240,최종 공격력 240% 증가,935,"105,944","💎 2,000","79,100",,,240,최종 크리티컬 데미지 240% 증가,"1,171","132,938","💎 2,000","82,360",,,,,,,,,,,,,,,,
,241,올스텟 +241,49,"5,929",-,"21,560",,,,,,,,,,,241,환생 포인트 획득량 241% 증가,472,"54,347",-,"79,100",,,241,최종 STR 241% 증가,703,"79,649",-,"73,950",,,241,최종 DEX 241% 증가,703,"79,649",-,"73,950",,,241,최종 INT 241% 증가,703,"79,649",-,"73,950",,,241,최종 LUK 241% 증가,703,"79,649",-,"73,950",,,241,최종 공격력 241% 증가,940,"106,879",-,"79,100",,,241,최종 크리티컬 데미지 241% 증가,"1,176","134,109",-,"82,360",,,,,,,,,,,,,,,,
,242,올스텟 +242,49,"5,978",-,"21,560",,,,,,,,,,,242,환생 포인트 획득량 242% 증가,475,"54,819",-,"79,100",,,242,최종 STR 242% 증가,707,"80,352",-,"73,950",,,242,최종 DEX 242% 증가,707,"80,352",-,"73,950",,,242,최종 INT 242% 증가,707,"80,352",-,"73,950",,,242,최종 LUK 242% 증가,707,"80,352",-,"73,950",,,242,최종 공격력 242% 증가,944,"107,819",-,"79,100",,,242,최종 크리티컬 데미지 242% 증가,"1,182","135,285",-,"82,360",,,,,,,,,,,,,,,,
,243,올스텟 +243,49,"6,027",-,"21,560",,,,,,,,,,,243,환생 포인트 획득량 243% 증가,477,"55,294",-,"79,100",,,243,최종 STR 243% 증가,710,"81,059",-,"73,950",,,243,최종 DEX 243% 증가,710,"81,059",-,"73,950",,,243,최종 INT 243% 증가,710,"81,059",-,"73,950",,,243,최종 LUK 243% 증가,710,"81,059",-,"73,950",,,243,최종 공격력 243% 증가,948,"108,763",-,"79,100",,,243,최종 크리티컬 데미지 243% 증가,"1,187","136,467",-,"82,360",,,,,,,,,,,,,,,,
,244,올스텟 +244,49,"6,076",-,"21,560",,,,,,,,,,,244,환생 포인트 획득량 244% 증가,479,"55,771",-,"79,100",,,244,최종 STR 244% 증가,713,"81,769",-,"73,950",,,244,최종 DEX 244% 증가,713,"81,769",-,"73,950",,,244,최종 INT 244% 증가,713,"81,769",-,"73,950",,,244,최종 LUK 244% 증가,713,"81,769",-,"73,950",,,244,최종 공격력 244% 증가,953,"109,711",-,"79,100",,,244,최종 크리티컬 데미지 244% 증가,"1,192","137,654",-,"82,360",,,,,,,,,,,,,,,,
,245,올스텟 +245,50,"6,125",💎 690,"22,250",,,,,,,,,,,245,환생 포인트 획득량 245% 증가,481,"56,250","💎 2,000","81,100",,,245,최종 STR 245% 증가,716,"82,482","💎 2,000","75,950",,,245,최종 DEX 245% 증가,716,"82,482","💎 2,000","75,950",,,245,최종 INT 245% 증가,716,"82,482","💎 2,000","75,950",,,245,최종 LUK 245% 증가,716,"82,482","💎 2,000","75,950",,,245,최종 공격력 245% 증가,957,"110,664","💎 2,000","81,100",,,245,최종 크리티컬 데미지 245% 증가,"1,198","138,846","💎 2,000","84,360",,,,,,,,,,,,,,,,
,246,올스텟 +246,50,"6,175",-,"22,250",,,,,,,,,,,246,환생 포인트 획득량 246% 증가,483,"56,731",-,"81,100",,,246,최종 STR 246% 증가,720,"83,198",-,"75,950",,,246,최종 DEX 246% 증가,720,"83,198",-,"75,950",,,246,최종 INT 246% 증가,720,"83,198",-,"75,950",,,246,최종 LUK 246% 증가,720,"83,198",-,"75,950",,,246,최종 공격력 246% 증가,961,"111,621",-,"81,100",,,246,최종 크리티컬 데미지 246% 증가,"1,203","140,044",-,"84,360",,,,,,,,,,,,,,,,
,247,올스텟 +247,50,"6,225",-,"22,250",,,,,,,,,,,247,환생 포인트 획득량 247% 증가,485,"57,214",-,"81,100",,,247,최종 STR 247% 증가,723,"83,918",-,"75,950",,,247,최종 DEX 247% 증가,723,"83,918",-,"75,950",,,247,최종 INT 247% 증가,723,"83,918",-,"75,950",,,247,최종 LUK 247% 증가,723,"83,918",-,"75,950",,,247,최종 공격력 247% 증가,966,"112,582",-,"81,100",,,247,최종 크리티컬 데미지 247% 증가,"1,209","141,247",-,"84,360",,,,,,,,,,,,,,,,
,248,올스텟 +248,50,"6,275",-,"22,250",,,,,,,,,,,248,환생 포인트 획득량 248% 증가,487,"57,699",-,"81,100",,,248,최종 STR 248% 증가,726,"84,641",-,"75,950",,,248,최종 DEX 248% 증가,726,"84,641",-,"75,950",,,248,최종 INT 248% 증가,726,"84,641",-,"75,950",,,248,최종 LUK 248% 증가,726,"84,641",-,"75,950",,,248,최종 공격력 248% 증가,970,"113,548",-,"81,100",,,248,최종 크리티컬 데미지 248% 증가,"1,214","142,456",-,"84,360",,,,,,,,,,,,,,,,
,249,올스텟 +249,50,"6,325",-,"22,250",,,,,,,,,,,249,환생 포인트 획득량 249% 증가,489,"58,186",-,"81,100",,,249,최종 STR 249% 증가,729,"85,367",-,"75,950",,,249,최종 DEX 249% 증가,729,"85,367",-,"75,950",,,249,최종 INT 249% 증가,729,"85,367",-,"75,950",,,249,최종 LUK 249% 증가,729,"85,367",-,"75,950",,,249,최종 공격력 249% 증가,974,"114,518",-,"81,100",,,249,최종 크리티컬 데미지 249% 증가,"1,219","143,670",-,"84,360",,,,,,,,,,,,,,,,
,250,올스텟 +250,51,"6,375",💎 700,"22,950",,,,,,,,,,,250,환생 포인트 획득량 250% 증가,492,"58,675","💎 2,000","83,100",,,250,최종 STR 250% 증가,733,"86,096","💎 2,000","77,950",,,250,최종 DEX 250% 증가,733,"86,096","💎 2,000","77,950",,,250,최종 INT 250% 증가,733,"86,096","💎 2,000","77,950",,,250,최종 LUK 250% 증가,733,"86,096","💎 2,000","77,950",,,250,최종 공격력 250% 증가,979,"115,492","💎 2,000","83,100",,,250,최종 크리티컬 데미지 250% 증가,"1,225","144,889","💎 2,000","86,360",,,,,,,,,,,,,,,,
,251,올스텟 +251,51,"6,426",-,"22,950",,,,,,,,,,,251,환생 포인트 획득량 251% 증가,494,"59,167",-,"83,100",,,251,최종 STR 251% 증가,736,"86,829",-,"77,950",,,251,최종 DEX 251% 증가,736,"86,829",-,"77,950",,,251,최종 INT 251% 증가,736,"86,829",-,"77,950",,,251,최종 LUK 251% 증가,736,"86,829",-,"77,950",,,251,최종 공격력 251% 증가,983,"116,471",-,"83,100",,,251,최종 크리티컬 데미지 251% 증가,"1,230","146,114",-,"86,360",,,,,,,,,,,,,,,,
,252,올스텟 +252,51,"6,477",-,"22,950",,,,,,,,,,,252,환생 포인트 획득량 252% 증가,496,"59,661",-,"83,100",,,252,최종 STR 252% 증가,739,"87,565",-,"77,950",,,252,최종 DEX 252% 증가,739,"87,565",-,"77,950",,,252,최종 INT 252% 증가,739,"87,565",-,"77,950",,,252,최종 LUK 252% 증가,739,"87,565",-,"77,950",,,252,최종 공격력 252% 증가,987,"117,454",-,"83,100",,,252,최종 크리티컬 데미지 252% 증가,"1,236","147,344",-,"86,360",,,,,,,,,,,,,,,,
,253,올스텟 +253,51,"6,528",-,"22,950",,,,,,,,,,,253,환생 포인트 획득량 253% 증가,498,"60,157",-,"83,100",,,253,최종 STR 253% 증가,743,"88,304",-,"77,950",,,253,최종 DEX 253% 증가,743,"88,304",-,"77,950",,,253,최종 INT 253% 증가,743,"88,304",-,"77,950",,,253,최종 LUK 253% 증가,743,"88,304",-,"77,950",,,253,최종 공격력 253% 증가,992,"118,441",-,"83,100",,,253,최종 크리티컬 데미지 253% 증가,"1,241","148,580",-,"86,360",,,,,,,,,,,,,,,,
,254,올스텟 +254,51,"6,579",-,"22,950",,,,,,,,,,,254,환생 포인트 획득량 254% 증가,500,"60,655",-,"83,100",,,254,최종 STR 254% 증가,746,"89,047",-,"77,950",,,254,최종 DEX 254% 증가,746,"89,047",-,"77,950",,,254,최종 INT 254% 증가,746,"89,047",-,"77,950",,,254,최종 LUK 254% 증가,746,"89,047",-,"77,950",,,254,최종 공격력 254% 증가,996,"119,433",-,"83,100",,,254,최종 크리티컬 데미지 254% 증가,"1,246","149,821",-,"86,360",,,,,,,,,,,,,,,,
,255,올스텟 +255,52,"6,630",💎 710,"23,660",,,,,,,,,,,255,환생 포인트 획득량 255% 증가,502,"61,155","💎 2,000","85,100",,,255,최종 STR 255% 증가,749,"89,793","💎 2,000","79,950",,,255,최종 DEX 255% 증가,749,"89,793","💎 2,000","79,950",,,255,최종 INT 255% 증가,749,"89,793","💎 2,000","79,950",,,255,최종 LUK 255% 증가,749,"89,793","💎 2,000","79,950",,,255,최종 공격력 255% 증가,"1,000","120,429","💎 2,000","85,100",,,255,최종 크리티컬 데미지 255% 증가,"1,252","151,067","💎 2,000","88,360",,,,,,,,,,,,,,,,
,256,올스텟 +256,52,"6,682",-,"23,660",,,,,,,,,,,256,환생 포인트 획득량 256% 증가,504,"61,657",-,"85,100",,,256,최종 STR 256% 증가,752,"90,542",-,"79,950",,,256,최종 DEX 256% 증가,752,"90,542",-,"79,950",,,256,최종 INT 256% 증가,752,"90,542",-,"79,950",,,256,최종 LUK 256% 증가,752,"90,542",-,"79,950",,,256,최종 공격력 256% 증가,"1,005","121,429",-,"85,100",,,256,최종 크리티컬 데미지 256% 증가,"1,257","152,319",-,"88,360",,,,,,,,,,,,,,,,
,257,올스텟 +257,52,"6,734",-,"23,660",,,,,,,,,,,257,환생 포인트 획득량 257% 증가,507,"62,161",-,"85,100",,,257,최종 STR 257% 증가,756,"91,294",-,"79,950",,,257,최종 DEX 257% 증가,756,"91,294",-,"79,950",,,257,최종 INT 257% 증가,756,"91,294",-,"79,950",,,257,최종 LUK 257% 증가,756,"91,294",-,"79,950",,,257,최종 공격력 257% 증가,"1,009","122,434",-,"85,100",,,257,최종 크리티컬 데미지 257% 증가,"1,263","153,576",-,"88,360",,,,,,,,,,,,,,,,
,258,올스텟 +258,52,"6,786",-,"23,660",,,,,,,,,,,258,환생 포인트 획득량 258% 증가,509,"62,668",-,"85,100",,,258,최종 STR 258% 증가,759,"92,050",-,"79,950",,,258,최종 DEX 258% 증가,759,"92,050",-,"79,950",,,258,최종 INT 258% 증가,759,"92,050",-,"79,950",,,258,최종 LUK 258% 증가,759,"92,050",-,"79,950",,,258,최종 공격력 258% 증가,"1,013","123,443",-,"85,100",,,258,최종 크리티컬 데미지 258% 증가,"1,268","154,839",-,"88,360",,,,,,,,,,,,,,,,
,259,올스텟 +259,52,"6,838",-,"23,660",,,,,,,,,,,259,환생 포인트 획득량 259% 증가,511,"63,177",-,"85,100",,,259,최종 STR 259% 증가,762,"92,809",-,"79,950",,,259,최종 DEX 259% 증가,762,"92,809",-,"79,950",,,259,최종 INT 259% 증가,762,"92,809",-,"79,950",,,259,최종 LUK 259% 증가,762,"92,809",-,"79,950",,,259,최종 공격력 259% 증가,"1,018","124,456",-,"85,100",,,259,최종 크리티컬 데미지 259% 증가,"1,273","156,107",-,"88,360",,,,,,,,,,,,,,,,
,260,올스텟 +260,53,"6,890",💎 720,"24,380",,,,,,,,,,,260,환생 포인트 획득량 260% 증가,513,"63,688","💎 2,000","87,100",,,260,최종 STR 260% 증가,765,"93,571","💎 2,000","81,950",,,260,최종 DEX 260% 증가,765,"93,571","💎 2,000","81,950",,,260,최종 INT 260% 증가,765,"93,571","💎 2,000","81,950",,,260,최종 LUK 260% 증가,765,"93,571","💎 2,000","81,950",,,260,최종 공격력 260% 증가,"1,022","125,474","💎 2,000","87,100",,,260,최종 크리티컬 데미지 260% 증가,"1,279","157,380","💎 2,000","90,360",,,,,,,,,,,,,,,,
,261,올스텟 +261,53,"6,943",-,"24,380",,,,,,,,,,,261,환생 포인트 획득량 261% 증가,515,"64,201",-,"87,100",,,261,최종 STR 261% 증가,769,"94,336",-,"81,950",,,261,최종 DEX 261% 증가,769,"94,336",-,"81,950",,,261,최종 INT 261% 증가,769,"94,336",-,"81,950",,,261,최종 LUK 261% 증가,769,"94,336",-,"81,950",,,261,최종 공격력 261% 증가,"1,027","126,496",-,"87,100",,,261,최종 크리티컬 데미지 261% 증가,"1,284","158,659",-,"90,360",,,,,,,,,,,,,,,,
,262,올스텟 +262,53,"6,996",-,"24,380",,,,,,,,,,,262,환생 포인트 획득량 262% 증가,517,"64,716",-,"87,100",,,262,최종 STR 262% 증가,772,"95,105",-,"81,950",,,262,최종 DEX 262% 증가,772,"95,105",-,"81,950",,,262,최종 INT 262% 증가,772,"95,105",-,"81,950",,,262,최종 LUK 262% 증가,772,"95,105",-,"81,950",,,262,최종 공격력 262% 증가,"1,031","127,523",-,"87,100",,,262,최종 크리티컬 데미지 262% 증가,"1,290","159,943",-,"90,360",,,,,,,,,,,,,,,,
,263,올스텟 +263,53,"7,049",-,"24,380",,,,,,,,,,,263,환생 포인트 획득량 263% 증가,519,"65,233",-,"87,100",,,263,최종 STR 263% 증가,775,"95,877",-,"81,950",,,263,최종 DEX 263% 증가,775,"95,877",-,"81,950",,,263,최종 INT 263% 증가,775,"95,877",-,"81,950",,,263,최종 LUK 263% 증가,775,"95,877",-,"81,950",,,263,최종 공격력 263% 증가,"1,035","128,554",-,"87,100",,,263,최종 크리티컬 데미지 263% 증가,"1,295","161,233",-,"90,360",,,,,,,,,,,,,,,,
,264,올스텟 +264,53,"7,102",-,"24,380",,,,,,,,,,,264,환생 포인트 획득량 264% 증가,522,"65,752",-,"87,100",,,264,최종 STR 264% 증가,779,"96,652",-,"81,950",,,264,최종 DEX 264% 증가,779,"96,652",-,"81,950",,,264,최종 INT 264% 증가,779,"96,652",-,"81,950",,,264,최종 LUK 264% 증가,779,"96,652",-,"81,950",,,264,최종 공격력 264% 증가,"1,040","129,589",-,"87,100",,,264,최종 크리티컬 데미지 264% 증가,"1,301","162,528",-,"90,360",,,,,,,,,,,,,,,,
,265,올스텟 +265,54,"7,155",💎 730,"25,110",,,,,,,,,,,265,환생 포인트 획득량 265% 증가,524,"66,274","💎 2,000","89,100",,,265,최종 STR 265% 증가,782,"97,431","💎 2,000","83,950",,,265,최종 DEX 265% 증가,782,"97,431","💎 2,000","83,950",,,265,최종 INT 265% 증가,782,"97,431","💎 2,000","83,950",,,265,최종 LUK 265% 증가,782,"97,431","💎 2,000","83,950",,,265,최종 공격력 265% 증가,"1,044","130,629","💎 2,000","89,100",,,265,최종 크리티컬 데미지 265% 증가,"1,306","163,829","💎 2,000","92,360",,,,,,,,,,,,,,,,
